seed,metric_value,scenario,metric,ablation
68,0.16,balanced,p_timeout,novp
68,4.54,balanced,commit_latency,novp
68,5.54,balanced,junction_pause,novp
68,1.83,balanced,reorientation,novp
69,0.41,balanced,p_open,novp
69,0.15,balanced,p_timeout,novp
69,4.35,balanced,commit_latency,novp
69,5.35,balanced,junction_pause,novp
69,1.73,balanced,reorientation,novp
70,0.43,balanced,p_open,novp
70,0.22,balanced,p_timeout,novp
70,4.5,balanced,commit_latency,novp
70,5.5,balanced,junction_pause,novp
70,1.75,balanced,reorientation,novp
71,0.43,balanced,p_open,novp
71,0.15,balanced,p_timeout,novp
71,4.5,balanced,commit_latency,novp
71,5.5,balanced,junction_pause,novp
71,1.68,balanced,reorientation,novp
72,0.43,balanced,p_open,novp
72,0.15,balanced,p_timeout,novp
72,4.52,balanced,commit_latency,novp
72,5.52,balanced,junction_pause,novp
72,1.69,balanced,reorientation,novp
73,0.49,balanced,p_open,novp
73,0.21,balanced,p_timeout,novp
73,4.5,balanced,commit_latency,novp
73,5.5,balanced,junction_pause,novp
73,1.83,balanced,reorientation,novp
74,0.38,balanced,p_open,novp
74,0.15,balanced,p_timeout,novp
74,4.4,balanced,commit_latency,novp
74,5.4,balanced,junction_pause,novp
74,1.52,balanced,reorientation,novp
75,0.46,balanced,p_open,novp
75,0.21,balanced,p_timeout,novp
75,4.61,balanced,commit_latency,novp
75,5.61,balanced,junction_pause,novp
75,1.8,balanced,reorientation,novp
76,0.45,balanced,p_open,novp
76,0.16,balanced,p_timeout,novp
76,4.44,balanced,commit_latency,novp
76,5.44,balanced,junction_pause,novp
76,1.72,balanced,reorientation,novp
77,0.46,balanced,p_open,novp
77,0.18,balanced,p_timeout,novp
77,4.54,balanced,commit_latency,novp
77,5.54,balanced,junction_pause,novp
77,1.94,balanced,reorientation,novp
78,0.38,balanced,p_open,novp
78,0.18,balanced,p_timeout,novp
78,4.45,balanced,commit_latency,novp
78,5.45,balanced,junction_pause,novp
78,1.53,balanced,reorientation,novp
79,0.44,balanced,p_open,novp
79,0.14,balanced,p_timeout,novp
79,4.52,balanced,commit_latency,novp
79,5.52,balanced,junction_pause,novp
79,1.71,balanced,reorientation,novp
80,0.49,balanced,p_open,novp
80,0.17,balanced,p_timeout,novp
80,4.5,balanced,commit_latency,novp
80,5.5,balanced,junction_pause,novp
80,1.66,balanced,reorientation,novp
81,0.44,balanced,p_open,novp
81,0.17,balanced,p_timeout,novp
81,4.49,balanced,commit_latency,novp
81,5.49,balanced,junction_pause,novp
81,1.7,balanced,reorientation,novp
82,0.37,balanced,p_open,novp
82,0.17,balanced,p_timeout,novp
82,4.38,balanced,commit_latency,novp
82,5.38,balanced,junction_pause,novp
82,1.88,balanced,reorientation,novp
83,0.46,balanced,p_open,novp
83,0.18,balanced,p_timeout,novp
83,4.44,balanced,commit_latency,novp
83,5.44,balanced,junction_pause,novp
83,1.74,balanced,reorientation,novp
84,0.48,balanced,p_open,novp
84,0.2,balanced,p_timeout,novp
84,4.35,balanced,commit_latency,novp
84,5.35,balanced,junction_pause,novp
84,1.61,balanced,reorientation,novp
85,0.39,balanced,p_open,novp
85,0.19,balanced,p_timeout,novp
85,4.34,balanced,commit_latency,novp
85,5.34,balanced,junction_pause,novp
85,1.66,balanced,reorientation,novp
86,0.44,balanced,p_open,novp
86,0.17,balanced,p_timeout,novp
86,4.54,balanced,commit_latency,novp
86,5.54,balanced,junction_pause,novp
86,1.78,balanced,reorientation,novp
87,0.51,balanced,p_open,novp
87,0.17,balanced,p_timeout,novp
87,4.45,balanced,commit_latency,novp
87,5.45,balanced,junction_pause,novp
87,1.78,balanced,reorientation,novp
88,0.41,balanced,p_open,novp
88,0.18,balanced,p_timeout,novp
88,4.46,balanced,commit_latency,novp
88,5.46,balanced,junction_pause,novp
88,1.85,balanced,reorientation,novp
89,0.44,balanced,p_open,novp
89,0.16,balanced,p_timeout,novp
89,4.42,balanced,commit_latency,novp
89,5.42,balanced,junction_pause,novp
89,1.67,balanced,reorientation,novp
90,0.49,balanced,p_open,novp
90,0.21,balanced,p_timeout,novp
90,4.52,balanced,commit_latency,novp
90,5.52,balanced,junction_pause,novp
90,1.9,balanced,reorientation,novp
91,0.43,balanced,p_open,novp
91,0.12,balanced,p_timeout,novp
91,4.54,balanced,commit_latency,novp
91,5.54,balanced,junction_pause,novp
91,1.74,balanced,reorientation,novp
42,0.48,balanced,p_open,nox
42,0.16,balanced,p_timeout,nox
42,4.41,balanced,commit_latency,nox
