protocol,ablation,check,status,value,threshold_or_expectation,note
treat,novg,carrier_delta_q_pos_post_4_10,pass,0.6177718966462998,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.6178, 0.6178], directional_p=0.000050, sign_consistency=1.0000"
treat,novg,carrier_delta_q_pos_post_11_30,pass,0.06635460834786248,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.0664, 0.0664], directional_p=0.000050, sign_consistency=1.0000"
treat,novg,carrier_delta_q_pos_post_all,pass,0.1499999131638139,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.1500, 0.1500], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_h_opp_post_1_3,pass,0.007857735998704846,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0076, 0.0081], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_h_opp_post_4_10,pass,0.012336668325513443,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0121, 0.0126], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_h_opp_post_11_30,pass,0.01285254670602387,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0126, 0.0131], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_h_opp_post_all,pass,0.012592964451821946,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0124, 0.0128], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_q_pos_post_1_3,pass,1.2798002725353284,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[1.2619, 1.2966], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_q_pos_post_4_10,pass,0.23607545788172526,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.2276, 0.2444], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_q_pos_post_11_30,pass,0.006028993984215179,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.0057, 0.0064], directional_p=0.000050, sign_consistency=1.0000"
treat,novp,carrier_delta_q_pos_post_all,pass,0.08017765606732176,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.0798, 0.0806], directional_p=0.000050, sign_consistency=1.0000"
treat,nox,carrier_delta_h_opp_post_1_3,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
treat,nox,carrier_delta_h_opp_post_4_10,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
treat,nox,carrier_delta_h_opp_post_11_30,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
treat,nox,carrier_delta_h_opp_post_all,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
treat,nox,carrier_delta_q_pos_post_1_3,pass,1.4997090076705042,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[1.4930, 1.5065], directional_p=0.000050, sign_consistency=1.0000"
treat,nox,carrier_delta_q_pos_post_4_10,pass,0.43742810253506825,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.4319, 0.4430], directional_p=0.000050, sign_consistency=1.0000"
