protocol,ablation,seed,target_path,expected_direction,first_post_trial,first_post_tick,target_prob,target_prob_wins,target_choice,target_local_bonus,mode,gate_trigger,h_risk,h_opp,q_neg,q_pos,safe_drive,one_shot_type
shock,nox,47,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,48,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,49,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,50,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,51,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,52,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,53,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,54,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,55,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,56,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,57,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,58,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,59,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,60,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,61,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,62,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,63,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,64,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,65,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,66,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,67,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,68,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,69,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,70,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,71,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,72,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
shock,nox,73,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.0,0.0,1.3719999999999999,0.0,0.0,none
