protocol,ablation,target_path,expected_direction,window,metric,n_seeds,mean,ci_low,ci_high
treat,full,covered,positive,shock,p_covered,50,1.0,1.0,1.0
treat,full,covered,positive,post_1_3,p_covered,50,0.6799999999999998,0.6133333333333334,0.7466666666666666
treat,full,covered,positive,post_4_10,p_covered,50,0.7199999999999999,0.6742857142857142,0.7657142857142857
treat,full,covered,positive,post_11_30,p_covered,50,0.69,0.6609999999999999,0.718
treat,full,covered,positive,post_31_plus,p_covered,50,0.7105000000000001,0.6925,0.7285124999999999
treat,full,covered,positive,post_all,p_covered,50,0.7042857142857142,0.6922857142857143,0.7162857142857143
treat,full,covered,positive,pre,p_open,50,0.4406896551724138,0.4172413793103449,0.46275862068965523
treat,full,covered,positive,shock,p_open,50,0.0,0.0,0.0
treat,full,covered,positive,post_1_3,p_open,50,0.32,0.2533333333333333,0.38666666666666666
treat,full,covered,positive,post_4_10,p_open,50,0.27999999999999997,0.23428571428571424,0.32857142857142846
treat,full,covered,positive,post_11_30,p_open,50,0.31,0.283,0.34
treat,full,covered,positive,post_31_plus,p_open,50,0.28950000000000004,0.271,0.308
treat,full,covered,positive,post_all,p_open,50,0.29571428571428576,0.2831357142857142,0.30857142857142855
treat,full,covered,positive,pre,p_target,50,0.5593103448275862,0.5365517241379311,0.5827586206896551
treat,full,covered,positive,shock,p_target,50,1.0,1.0,1.0
treat,full,covered,positive,post_1_3,p_target,50,0.6799999999999998,0.6133333333333333,0.7466666666666666
treat,full,covered,positive,post_4_10,p_target,50,0.7199999999999999,0.6714285714285714,0.7657142857142857
treat,full,covered,positive,post_11_30,p_target,50,0.69,0.66,0.7180000000000001
treat,full,covered,positive,post_31_plus,p_target,50,0.7105000000000001,0.6925,0.7290000000000001
treat,full,covered,positive,post_all,p_target,50,0.7042857142857142,0.6908571428571428,0.7171428571428572
treat,full,covered,positive,pre,p_timeout,50,0.1793103448275862,0.16275862068965516,0.19586206896551725
treat,full,covered,positive,shock,p_timeout,50,0.0,0.0,0.0
treat,full,covered,positive,post_1_3,p_timeout,50,0.0,0.0,0.0
treat,full,covered,positive,post_4_10,p_timeout,50,0.0,0.0,0.0
treat,full,covered,positive,post_11_30,p_timeout,50,0.0,0.0,0.0
treat,full,covered,positive,post_31_plus,p_timeout,50,0.0,0.0,0.0
treat,full,covered,positive,post_all,p_timeout,50,0.0,0.0,0.0
treat,full,covered,positive,pre,q_neg,50,0.0,0.0,0.0
treat,full,covered,positive,shock,q_neg,50,0.0,0.0,0.0
treat,full,covered,positive,post_1_3,q_neg,50,0.0,0.0,0.0
treat,full,covered,positive,post_4_10,q_neg,50,0.0,0.0,0.0
treat,full,covered,positive,post_11_30,q_neg,50,0.0,0.0,0.0
treat,full,covered,positive,post_31_plus,q_neg,50,0.0,0.0,0.0
treat,full,covered,positive,post_all,q_neg,50,0.0,0.0,0.0
treat,full,covered,positive,pre,q_pos,50,0.0,0.0,0.0
treat,full,covered,positive,shock,q_pos,50,0.0,0.0,0.0
treat,full,covered,positive,post_1_3,q_pos,50,1.4997090076705042,1.4929997198108174,1.5063973633266168
treat,full,covered,positive,post_4_10,q_pos,50,0.43742810253506825,0.43208366294423883,0.4430959775793995
treat,full,covered,positive,post_11_30,q_pos,50,0.02507080365128839,0.024465675964435617,0.025689453257212797
