protocol,ablation,target_path,expected_direction,trial,rel_trial,n_trials,p_open,p_covered,p_target,p_timeout,mean_commit_latency,mean_junction_pause_duration,mean_h_risk,mean_h_opp,mean_q_neg,mean_q_pos,mean_X_risk,mean_X_opp
shock,novg,open,negative,10,-20,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22166796019631757,0.26986521453371975,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,11,-19,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22281384868480397,0.2716310672555735,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,12,-18,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2235656661220999,0.27278964322638183,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,13,-17,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22405893354270975,0.27354978492082915,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,14,-16,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22438256629737188,0.27404851388655604,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,15,-15,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2245949017477057,0.27437572996096943,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,16,-14,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22473421503666977,0.274590416427392,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,17,-13,50,0.02,0.98,0.02,0.0,1.0,2.0,0.22502561848555908,0.2747312722180119,0.0,0.0,0.22699999999999998,0.275
shock,novg,open,negative,18,-12,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22550460828837537,0.27482368770223764,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,19,-11,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22533107349800308,0.2748843215014381,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,20,-10,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22521721732203986,0.2749241033370936,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,21,-9,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22514251628499035,0.2749502041994671,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,22,-8,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2250935049345822,0.2749673289752704,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,23,-7,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2250613485875794,0.2749785645406749,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,24,-6,50,0.02,0.98,0.02,0.0,1.0,2.0,0.22524025080831084,0.27498593619513684,0.0,0.0,0.22699999999999998,0.275
shock,novg,open,negative,25,-5,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22564542855533282,0.2749907727376293,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,26,-4,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22542346567515387,0.27499394599315863,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,27,-3,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22527783582946845,0.2749960279661114,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,28,-2,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22518228808771426,0.2749973939485657,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,29,-1,50,0.0,1.0,0.0,0.0,1.0,2.0,0.22511959921434938,0.27499829016965394,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,30,0,50,1.0,0.0,1.0,0.0,1.0,2.0,0.23507846904453458,0.27499887818030994,0.0,0.0,0.32499999999999996,0.275
shock,novg,open,negative,31,1,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2593709045409933,0.2749992639741014,1.3585572,0.0,0.22499999999999998,0.275
shock,novg,open,negative,32,2,50,0.0,1.0,0.0,0.0,1.0,2.0,0.26923845155807685,0.2749995170934079,1.2530899048187514,0.0,0.22499999999999998,0.275
shock,novg,open,negative,33,3,50,0.02,0.98,0.02,0.0,1.0,2.0,0.27816057103413366,0.2749996831649849,1.1558102298222468,0.0,0.22699999999999998,0.275
shock,novg,open,negative,34,4,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2861590798748179,0.27499979212454656,1.066082554990323,0.0,0.22499999999999998,0.275
shock,novg,open,negative,35,5,50,0.02,0.98,0.02,0.0,1.0,2.0,0.29285755762584803,0.274999863612915,0.983320604654523,0.0,0.22699999999999998,0.275
shock,novg,open,negative,36,6,50,0.04,0.96,0.04,0.0,1.0,2.0,0.29882553686291335,0.2749999105164336,0.9069836168052796,0.0,0.22899999999999998,0.275
shock,novg,open,negative,37,7,50,0.02,0.98,0.02,0.0,1.0,2.0,0.30383186830152414,0.2749999412898321,0.8365728097828309,0.0,0.22699999999999998,0.275
